"Metrics","SVM","RandomForest","NearestNeighbors","MultinomialNB"
"Accuracy","0.92760476112832224","0.91586499266264476","0.9553236588945051","0.88537420511984344"
"Precision","0.95844748650886158","0.95595129099462928","0.95867026801181632","0.89763112902223674"
"Recall","0.93434372199966964","0.9215107347561956","0.95238450430606836","0.97905691955419771"
"F-Measure","0.94613636949616864","0.93831996750726954","0.95547639204639867","0.93583046628038458"
