" ","Business","Politics","Film","Football","Technology"
"Cluster0","0.66100000000000003","0.0040000000000000001","0.0050000000000000001","0.047","0.28299999999999997"
"Cluster1","0.0089999999999999993","0.84199999999999997","0.0080000000000000002","0.014999999999999999","0.126"
"Cluster2","0.037999999999999999","0.002","0.0050000000000000001","0.94399999999999995","0.010999999999999999"
"Cluster3","0.001","0.0","0.998","0.001","0.001"
"Cluster4","0.002","0.001","0.98999999999999999","0.001","0.0060000000000000001"
